incident_num,category,longitude,latitude
160800566.0,VEHICLE THEFT,-122.4832212,37.71838939
170244738.0,ASSAULT,-122.4155261,37.71183905
160332876.0,NON-CRIMINAL,-122.4387697,37.75482488
160011694.0,LARCENY/THEFT,-122.42525459999999,37.79647993
170235113.0,NON-CRIMINAL,-122.42142690000001,37.79460283
160692959.0,DRIVING UNDER THE INFLUENCE,-122.4387013,37.80044989
160376761.0,MISSING PERSON,-122.38951759999999,37.77246824
170124077.0,LARCENY/THEFT,-122.4126295,37.77456454
160343942.0,NON-CRIMINAL,-122.41515590000002,37.76369793
170239535.0,ASSAULT,-122.47017450000001,37.78062692
170070072.0,WARRANTS,-122.4231568,37.79020883
170094113.0,"SEX OFFENSES, FORCIBLE",-122.4121229,37.7986481
170147994.0,ASSAULT,-122.40391909999998,37.7871161
160602594.0,BURGLARY,-122.4922604,37.76381902
176012189.0,LARCENY/THEFT,-122.4230312,37.78548187
176080794.0,VANDALISM,-122.4113591,37.77649448
160168916.0,BURGLARY,-122.5064706,37.75383534
160392397.0,DRUNKENNESS,-122.41259699999999,37.78111921
160582407.0,ASSAULT,-122.3964219,37.79414474
160551888.0,VANDALISM,-122.4193663,37.78402805
160535763.0,OTHER OFFENSES,-122.44269990000001,37.71799759
160794862.0,ASSAULT,-122.4142227,37.76532509
160154460.0,LARCENY/THEFT,-122.40722240000002,37.78645626
176016090.0,LARCENY/THEFT,-122.4321162,37.78003044
160315991.0,LARCENY/THEFT,-122.4077021,37.77069679
160999103.0,OTHER OFFENSES,-122.4043703,37.75246679
166027687.0,LARCENY/THEFT,-122.40430409999999,37.74421808
161036570.0,OTHER OFFENSES,-122.40928600000001,37.77965932
166294080.0,LARCENY/THEFT,-122.4073422,37.79129645
170182508.0,TRESPASS,-122.401898,37.72334822
160779905.0,WARRANTS,-122.4065923,37.78756729999999
160657953.0,LARCENY/THEFT,-122.3914348,37.73812709
160193214.0,OTHER OFFENSES,-122.41967179999999,37.76505012
160064336.0,OTHER OFFENSES,-122.4106997,37.78698819
166236151.0,VANDALISM,-122.4199834,37.76827268
160574272.0,LARCENY/THEFT,-122.4207475,37.80758774
160245956.0,LARCENY/THEFT,-122.4520203,37.74131166
176077387.0,LARCENY/THEFT,-122.43466740000001,37.78874537
170239933.0,RECOVERED VEHICLE,-122.4378119,37.71192131
160299931.0,VANDALISM,-122.41714479999999,37.71215029
166130224.0,LARCENY/THEFT,-122.4162938,37.77749368
166092953.0,LARCENY/THEFT,-122.42051570000001,37.78938405
160412741.0,LARCENY/THEFT,-122.4505374,37.77522627
166214878.0,LARCENY/THEFT,-122.4337082,37.71314522
160646326.0,ASSAULT,-122.41586159999999,37.75394588
160737345.0,VEHICLE THEFT,-122.4243091,37.74303478
160432432.0,SUSPICIOUS OCC,-122.41889180000001,37.75621666
160408405.0,OTHER OFFENSES,-122.46378359999999,37.75853562
160029879.0,LARCENY/THEFT,-122.4076335,37.78418935
160132109.0,OTHER OFFENSES,-122.40284270000001,37.77982942
170017604.0,VEHICLE THEFT,-122.455192,37.72095936
170139496.0,WARRANTS,-122.41177830000001,37.78398056
170086217.0,EMBEZZLEMENT,-122.41089709999999,37.76921419
166229554.0,LARCENY/THEFT,-122.4931152,37.78657868
170209293.0,LARCENY/THEFT,-122.47338799999999,37.71927139
166216034.0,LARCENY/THEFT,-122.42947990000002,37.76116648
160827548.0,DRUG/NARCOTIC,-122.4142178,37.78325933
160422245.0,DRUG/NARCOTIC,-122.40816299999999,37.78053454
170033127.0,NON-CRIMINAL,-122.46964170000001,37.7732875
161059588.0,MISSING PERSON,-122.44139369999999,37.77172731
170018486.0,VEHICLE THEFT,-122.4174085,37.72401762
160290202.0,FORGERY/COUNTERFEITING,-122.4154488,37.77829352
170197024.0,BURGLARY,-122.4111807,37.80163565
160363398.0,DRUG/NARCOTIC,-122.41474380000001,37.77871926
170183211.0,VEHICLE THEFT,-122.48980470000001,37.77089178
176101500.0,LARCENY/THEFT,-122.4263605,37.77693131
160195555.0,OTHER OFFENSES,-122.4135835,37.77704362
160559246.0,DRUG/NARCOTIC,-122.4077298,37.793177299999996
166190977.0,LARCENY/THEFT,-122.4165835,37.77865915
160133743.0,LARCENY/THEFT,-122.4069587,37.78943476
160584776.0,VANDALISM,-122.42894979999998,37.75005239
161093906.0,WARRANTS,-122.45596110000001,37.77697798
160745962.0,VANDALISM,-122.3977996,37.79443355
160274450.0,LARCENY/THEFT,-122.4471868,37.75976818
160671511.0,SECONDARY CODES,-122.40979170000001,37.79850835
161062917.0,FRAUD,-122.4382162,37.7680698
170195987.0,OTHER OFFENSES,-122.424663,37.77289795
160786950.0,BURGLARY,-122.4253004,37.77133828
160218759.0,DRUG/NARCOTIC,-122.41159309999999,37.78305295
160814454.0,MISSING PERSON,-122.46404479999998,37.76131618
160747203.0,SUSPICIOUS OCC,-122.44390800000001,37.71643658
160588972.0,NON-CRIMINAL,-122.4084331,37.79670393
160616222.0,VEHICLE THEFT,-122.4159465,37.79183504
176069798.0,LARCENY/THEFT,-122.44691270000001,37.80328281
170086900.0,NON-CRIMINAL,-122.40619040000001,37.80132355
160956733.0,ASSAULT,-122.4378509,37.78371743
160539840.0,NON-CRIMINAL,-122.4233107,37.79436349
170143259.0,VANDALISM,-122.39089469999999,37.72931191
160840603.0,NON-CRIMINAL,-122.4898483,37.76204981
160577878.0,NON-CRIMINAL,-122.4365275,37.75353944
160305522.0,LARCENY/THEFT,-122.4031622,37.80309873
160422182.0,OTHER OFFENSES,-122.40249209999999,37.79750272
160520203.0,BURGLARY,-122.40728259999999,37.75208897
160800390.0,VANDALISM,-122.486331,37.7733904
160126146.0,MISSING PERSON,-122.4200041,37.78294154
160752086.0,NON-CRIMINAL,-122.4263828,37.78531003
160502110.0,SECONDARY CODES,-122.41313570000001,37.7862599
160084497.0,LARCENY/THEFT,-122.5035226,37.75678721
170054151.0,NON-CRIMINAL,-122.4343899,37.78363622
160660558.0,VANDALISM,-122.4205568,37.71089458
160618052.0,ASSAULT,-122.4074744,37.77991167
160678846.0,LARCENY/THEFT,-122.4154793,37.75642209
160255422.0,VANDALISM,-122.4195075,37.7763701
160316450.0,WARRANTS,-122.4458563,37.72162829
166133911.0,LARCENY/THEFT,-122.41878419999999,37.80624076
166250145.0,LARCENY/THEFT,-122.41701929999999,37.78910955
160378018.0,MISSING PERSON,-122.46374990000001,37.77362241
160033137.0,NON-CRIMINAL,-122.46427990000001,37.7800333
